Tool,Ships,VersionsOnDisk,File,TypeName,VersionInFilename,VersionInType,FilenameTypeMismatch,Icon,IconStatus,IconGroup,IconMotif,IconPalette,SizeMB,ArchiveMB,Notes,Decision
CopyWithRotation,SHIP,1,Sops/CopyTools/AB.CopyWithRotation.1.0.hda,AB::CopyWithRotation::1.0,1.0,1.0,,SOP_AB__CopyWithRotation.svg,ok,Scatter / Copy,scatter_copy,violet,0.01,0,,
CreateCircuitCurves,SHIP,1,Sops/Curves/AB.CreateCircuitCurves.2.0.hda,AB::CreateCircuitCurves::2.0,2.0,2.0,,SOP_AB__CreateCircuitCurves.svg,ok,Math / Curves / Noise,circuit,violet,0.03,0,,
CreateLODs,SHIP,1,Sops/Utilities/AB.CreateLODs.2.0.hda,AB::CreateLODs::2.0,2.0,2.0,,SOP_AB__CreateLODs.svg,ok,Utility / Code,buildings_cluster,slate,0.01,0,,
CreateRGBNoise,SHIP,1,Sops/Utilities/AB.CreateRGBNoise.1.0.hda,AB::CreateRGBNoise::1.0,1.0,1.0,,SOP_AB__CreateRGBNoise.svg,ok,Data / Visualization,noise_grid,rose,0.02,0,,
CrystalGenerator,SHIP,1,Sops/Natural/AB.CrystalGenerator.1.0.hda,AB::CrystalGenerator::1.0,1.0,1.0,,SOP_AB__CrystalGenerator.svg,ok,Industrial / Large props,math_curve,violet,289.99,0,,
CycGenerator,SHIP,1,Sops/Modeling/AB.CycGenerator.1.0.hda,AB::CycGenerator::1.0,1.0,1.0,,SOP_AB__CycGenerator.svg,ok,Utility / Code,halfpipe,teal,0.01,0,,
DestructionBuilding,SHIP,1,Sops/Buildings/AB.DestructionBuilding.1.0.hda,AB::DestructionBuilding::1.0,1.0,1.0,,SOP_AB__DestructionBuilding.svg,ok,City / Urban,buildings_cluster,crimson,0.31,0,,
DomeGenerator,SHIP,1,Sops/BuildingProps/AB.DomeGenerator.1.0.hda,AB::DomeGenerator::1.0,1.0,1.0,,SOP_AB__DomeGenerator.svg,ok,Industrial / Large props,dome,teal,0.09,0,,
DoorGenerator,SHIP,1,Sops/BuildingProps/AB.DoorGenerator.4.0.hda,AB::DoorGenerator::4.0,4.0,4.0,,SOP_AB__DoorGenerator.svg,ok,Facades / Windows / Doors,door,amber,0.52,0,,
DoorHardware,SHIP,1,Sops/Parts/AB.DoorHardware.2.0.hda,AB::DoorHardware::2.0,2.0,2.0,,SOP_AB__DoorHardware.svg,ok,Facades / Windows / Doors,door,steel,1.04,0,,
DoorsCreateCopies,superseded,4,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.0.hda,AB::DoorsCreateCopies::1.0,1.0,1.0,,SOP_AB__DoorsCreateCopies.svg,,Facades / Windows / Doors,door,slate,0.08,0.08,,
DoorsCreateCopies,superseded,4,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.1.hda,AB::DoorsCreateCopies::1.1,1.1,1.1,,SOP_AB__DoorsCreateCopies.svg,,Facades / Windows / Doors,door,slate,0.09,0.09,,
DoorsCreateCopies,superseded,4,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.2.hda,AB::DoorsCreateCopies::1.2,1.2,1.2,,SOP_AB__DoorsCreateCopies.svg,,Facades / Windows / Doors,door,slate,0.09,0.09,,
DoorsCreateCopies,SHIP,4,Sops/Modeling/OLD/sop_AB.DoorsCreateCopies.1.2.hda,AB::DoorsCreateCopies::1.2,1.2,1.2,,SOP_AB__DoorsCreateCopies.svg,ok,Facades / Windows / Doors,door,slate,0.08,0,,
DowntownBuilding,superseded,7,Sops/Buildings/AB.DowntownBuilding.3.0.hda,AB::DowntownBuilding::3.0,3.0,3.0,,SOP_AB__DowntownBuilding.svg,,City / Urban,single_tower,emerald,0.62,0.62,,
DowntownBuilding,superseded,7,Sops/Buildings/AB.DowntownBuilding.3.1.hda,AB::DowntownBuilding::3.1,3.1,3.1,,SOP_AB__DowntownBuilding.svg,,City / Urban,single_tower,emerald,0.62,0.62,,
DowntownBuilding,superseded,7,Sops/Buildings/AB.DowntownBuilding.3.2.hda,AB::DowntownBuilding::3.2,3.2,3.2,,SOP_AB__DowntownBuilding.svg,,City / Urban,single_tower,emerald,0.69,0.69,,
DowntownBuilding,superseded,7,Sops/Buildings/AB.DowntownBuilding.3.3.hda,AB::DowntownBuilding::3.3,3.3,3.3,,SOP_AB__DowntownBuilding.svg,,City / Urban,single_tower,emerald,0.47,0.47,,
DowntownBuilding,superseded,7,Sops/Buildings/AB.DowntownBuilding.3.4.hda,AB::DowntownBuilding::3.4,3.4,3.4,,SOP_AB__DowntownBuilding.svg,,City / Urban,single_tower,emerald,0.31,0.31,,
DowntownBuilding,superseded,7,Sops/Buildings/AB.DowntownBuilding.3.5.hda,AB::DowntownBuilding::3.5,3.5,3.5,,SOP_AB__DowntownBuilding.svg,,City / Urban,single_tower,emerald,0.35,0.35,,
DowntownBuilding,SHIP,7,Sops/Buildings/AB.DowntownBuilding.3.6.hda,AB::DowntownBuilding::3.6,3.6,3.6,,SOP_AB__DowntownBuilding.svg,ok,City / Urban,single_tower,emerald,0.31,0,,
DroopyWires,SHIP,1,Sops/Modeling/AB.DroopyWires.1.0.hda,AB::DroopyWires::1.0,1.0,1.0,,SOP_AB__DroopyWires.svg,ok,Wires / Cables,wire_poles,slate,0.09,0,,
ElectricalParts,SHIP,1,Sops/Parts/AB.ElectricalParts.2.0.hda,AB::ElectricalParts::2.0,2.0,2.0,,SOP_AB__ElectricalParts.svg,ok,Electrical / Electronic,modules,amber,0.12,0,,
ElectricalPropGenerator,SHIP,1,Sops/BuildingProps/AB.ElectricalPropGenerator.2.0.hda,AB::ElectricalPropGenerator::2.0,2.0,2.0,,SOP_AB__ElectricalPropGenerator.svg,ok,Electrical / Electronic,utility_pole,slate,0.09,0,,
ElectricBoxGenerator,SHIP,1,Sops/CityProps/AB.ElectricBoxGenerator.2.0.hda,AB::ElectricBoxGenerator::2.0,2.0,2.0,,SOP_AB__ElectricBoxGenerator.svg,ok,Electrical / Electronic,modules,cyan,0.04,0,,
ElectronicComponentGenerator,SHIP,1,Sops/Parts/AB.ElectronicComponentGenerator.1.0.hda,AB::ElectronicComponentGenerator::1.0,1.0,1.0,,SOP_AB__ElectronicComponentGenerator.svg,ok,Electrical / Electronic,circuit,cyan,0.1,0,,
EngineAttributes,SHIP,1,Sops/Utilities/AB.EngineAttributes.1.0.hda,AB::EngineAttributes::1.0,1.0,1.0,,SOP_AB__EngineAttributes.svg,ok,Wood,circuit,slate,0.01,0,,
EqualizerGraph,SHIP,1,Sops/MotionGraphics/AB.EqualizerGraph.1.0.hda,AB::EqualizerGraph::1.0,1.0,1.0,,SOP_AB__EqualizerGraph.svg,ok,Data / Visualization,data_bars,violet,0.01,0,,
ExportPack,SHIP,1,Sops/Utilities/AB.ExportPack.1.0.hda,AB::ExportPack::1.0,1.0,1.0,,SOP_AB__ExportPack.svg,ok,Wood,container,steel,0.01,0,,
ExtendedSweep,SHIP,1,Sops/Modeling/AB.ExtendedSweep.2.0.hda,AB::ExtendedSweep::2.0,2.0,2.0,,SOP_AB__ExtendedSweep.svg,ok,Lights,math_curve,violet,0.03,0,,
FancyCurves,SHIP,1,Sops/Curves/AB.FancyCurves.2.0.hda,AB::FancyCurves::2.0,2.0,2.0,,SOP_AB__FancyCurves.svg,ok,Math / Curves / Noise,math_curve,rose,0.06,0,,
FireEscapeGenerator,SHIP,1,Sops/BuildingProps/AB.FireEscapeGenerator.2.0.hda,AB::FireEscapeGenerator::2.0,2.0,2.0,,SOP_AB__FireEscapeGenerator.svg,ok,Ladders / Stairs / Escape,ladder,crimson,0.08,0,,
FireHydrantGenerator,SHIP,1,Sops/CityProps/AB.FireHydrantGenerator.2.0.hda,AB::FireHydrantGenerator::2.0,2.0,2.0,,SOP_AB__FireHydrantGenerator.svg,ok,Street props,street_prop,crimson,0.26,0,,
FlangeGenerator,SHIP,1,Sops/Parts/AB.FlangeGenerator.2.0.hda,AB::FlangeGenerator::2.0,2.0,2.0,,SOP_AB__FlangeGenerator.svg,ok,Pipes / Plumbing,pipe,gold,0.01,0,,
FloatingIslands,SHIP,1,Sops/Natural/AB.FloatingIslands.1.0.hda,AB::FloatingIslands::1.0,1.0,1.0,,SOP_AB__FloatingIslands.svg,ok,Rocks / Terrain,rock,teal,0.14,0,,
Flocking,SHIP,1,Sops/Scatters/AB.Flocking.1.0.hda,AB::Flocking::1.0,1.0,1.0,,SOP_AB__Flocking.svg,ok,Utility / Code,flocking,teal,0.03,0,,
FlowerDesigner,SHIP,1,Sops/Natural/AB.FlowerDesigner.1.0.hda,AB::FlowerDesigner::1.0,1.0,1.0,,SOP_AB__FlowerDesigner.svg,ok,Lights,plant,emerald,0.16,0,,
FlowerGenerator,SHIP,1,Sops/Natural/AB.FlowerGenerator.1.0.hda,AB::FlowerGenerator::1.0,1.0,1.0,,SOP_AB__FlowerGenerator.svg,ok,Nature / Organic,plant,rose,0.15,0,,
FuturisticBuildings,superseded,3,Sops/Buildings/AB.FuturisticBuildings.2.0.hda,AB::FuturisticBuildings::2.0,2.0,2.0,,SOP_AB__FuturisticBuildings.svg,,City / Urban,single_tower,cyan,0.17,0.17,,
FuturisticBuildings,superseded,3,Sops/Buildings/AB.FuturisticBuildings.2.1.hda,AB::FuturisticBuildings::2.1,2.1,2.1,,SOP_AB__FuturisticBuildings.svg,,City / Urban,single_tower,cyan,0.17,0.17,,
FuturisticBuildings,SHIP,3,Sops/Buildings/AB.FuturisticBuildings.2.2.hda,AB::FuturisticBuildings::2.2,2.2,2.2,,SOP_AB__FuturisticBuildings.svg,ok,City / Urban,single_tower,cyan,0.19,0,,
GraphicSigns,SHIP,1,Sops/CityProps/AB.GraphicSigns.2.0.hda,AB::GraphicSigns::2.0,2.0,2.0,,SOP_AB__GraphicSigns.svg,ok,Signs / Billboards,neon,rose,0.04,0,,
GrassGenerator,SHIP,1,Sops/WorldBuilding/AB.GrassGenerator.1.0.hda,AB::GrassGenerator::1.0,1.0,1.0,,SOP_AB__GrassGenerator.svg,ok,Nature / Organic,plant,emerald,0.06,0,,
GroupWalls,SHIP,1,Sops/BuildingHelpers/AB.GroupWalls.2.0.hda,AB::GroupWalls::2.0,2.0,2.0,,SOP_AB__GroupWalls.svg,ok,Facades / Windows / Doors,window_facade,amber,0.0,0,,
GrowthFromPoints,SHIP,1,Sops/MotionGraphics/AB.GrowthFromPoints.1.0.hda,AB::GrowthFromPoints::1.0,1.0,1.0,,SOP_AB__GrowthFromPoints.svg,ok,Utility / Code,growth,emerald,0.04,0,,
HandrailGenerator,SHIP,1,Sops/CityProps/AB.HandrailGenerator.3.0.hda,AB::HandrailGenerator::3.0,3.0,3.0,,SOP_AB__HandrailGenerator.svg,ok,Facades / Windows / Doors,balcony_rail,amber,0.02,0,,
HangingClothGenerator,SHIP,1,Sops/SetDressing/AB.HangingClothGenerator.1.5.hda,AB::HangingClothGenerator::1.5,1.5,1.5,,SOP_AB__HangingClothGenerator.svg,ok,Industrial / Large props,halfpipe,peach,0.09,0,,
HardwareMaker,SHIP,1,Sops/Parts/AB.HardwareMaker.2.0.hda,AB::HardwareMaker::2.0,2.0,2.0,,SOP_AB__HardwareMaker.svg,ok,Industrial / Large props,modules,steel,1.37,0,,
HayBaleGenerator,SHIP,1,Sops/SetDressing/AB.HayBaleGenerator.1.0.hda,AB::HayBaleGenerator::1.0,1.0,1.0,,SOP_AB__HayBaleGenerator.svg,ok,Nature / Organic,wood_planks,amber,0.04,0,,
HighwaySignGenerator,superseded,3,Sops/CityProps/AB.HighwaySignGenerator.4.8.hda,AB::HighwaySignGenerator::4.8,4.8,4.8,,SOP_AB__HighwaySignGenerator.svg,,Signs / Billboards,sign_post,teal,0.33,0.33,,
HighwaySignGenerator,superseded,3,Sops/CityProps/AB.HighwaySignGenerator.4.9.hda,AB::HighwaySignGenerator::4.9,4.9,4.9,,SOP_AB__HighwaySignGenerator.svg,,Signs / Billboards,sign_post,teal,0.31,0.31,,
HighwaySignGenerator,SHIP,3,Sops/CityProps/AB.HighwaySignGenerator.5.0.hda,AB::HighwaySignGenerator::5.0,5.0,5.0,,SOP_AB__HighwaySignGenerator.svg,ok,Signs / Billboards,sign_post,teal,0.36,0,,
HudMaker,SHIP,1,Sops/MotionGraphics/AB.HudMaker.2.0.hda,AB::HudMaker::2.0,2.0,2.0,,SOP_AB__HudMaker.svg,ok,Data / Visualization,data_bars,cyan,0.09,0,,
IndustrialBuildings,superseded,2,Sops/Buildings/AB.IndustrialBuildings.2.0.hda,AB::IndustrialBuildings::2.0,2.0,2.0,,SOP_AB__IndustrialBuildings.svg,,City / Urban,single_tower,steel,0.11,0.11,,
IndustrialBuildings,SHIP,2,Sops/Buildings/AB.IndustrialBuildings.2.1.hda,AB::IndustrialBuildings::2.1,2.1,2.1,,SOP_AB__IndustrialBuildings.svg,ok,City / Urban,single_tower,steel,0.11,0,,
LadderGenerator,SHIP,1,Sops/BuildingProps/AB.LadderGenerator.2.0.hda,AB::LadderGenerator::2.0,2.0,2.0,,SOP_AB__LadderGenerator.svg,ok,Ladders / Stairs / Escape,ladder,slate,0.03,0,,
LargeWalls,SHIP,1,Sops/BuildingProps/AB.LargeWalls.1.0.hda,AB::LargeWalls::1.0,1.0,1.0,,SOP_AB__LargeWalls.svg,ok,Facades / Windows / Doors,window_facade,slate,0.05,0,,
LowPolyTrees,SHIP,1,Sops/Natural/AB.LowPolyTrees.2.0.hda,AB::LowPolyTrees::2.0,2.0,2.0,,SOP_AB__LowPolyTrees.svg,ok,Nature / Organic,plant,teal,0.05,0,,
LowWalls,superseded,2,Sops/BuildingProps/AB.LowWalls.1.0.hda,AB::LowWalls::1.0,1.0,1.0,,SOP_AB__LowWalls.svg,,Facades / Windows / Doors,balcony_rail,slate,0.07,0.07,,
LowWalls,SHIP,2,Sops/BuildingProps/AB.LowWalls.1.1.hda,AB::LowWalls::1.1,1.1,1.1,,SOP_AB__LowWalls.svg,ok,Facades / Windows / Doors,balcony_rail,slate,0.07,0,,
MailBoxGenerator,SHIP,1,Sops/CityProps/AB.MailBoxGenerator.2.0.hda,AB::MailBoxGenerator::2.0,2.0,2.0,,SOP_AB__MailBoxGenerator.svg,ok,Street props,container,teal,0.04,0,,
ManhattenDistance,SHIP,1,Sops/Panels/AB.ManhattenDistance.2.0.hda,AB::ManhattenDistance::2.0,2.0,2.0,,SOP_AB__ManhattenDistance.svg,ok,Math / Curves / Noise,math_curve,amber,0.02,0,,
MaterialBinding,SHIP,1,Sops/Utilities/AB.MaterialBinding.1.0.hda,AB::MaterialBinding::1.0,1.0,1.0,,SOP_AB__MaterialBinding.svg,ok,Wood,noise_grid,gold,0.01,0,,
MaterialLibrary,SHIP,1,Sops/Utilities/AB.MaterialLibrary.1.0.hda,AB::MaterialLibrary::1.0,1.0,1.0,,SOP_AB__MaterialLibrary.svg,ok,Wood,data_bars,gold,0.01,0,,
MetalExtrusionMaker,SHIP,1,Sops/Curves/AB.MetalExtrusionMaker.2.0.hda,AB::MetalExtrusionMaker::2.0,2.0,2.0,,SOP_AB__MetalExtrusionMaker.svg,ok,Utility / Code,halfpipe,steel,0.01,0,,
MModulesArtDeco,SHIP,1,Sops/Modules/AB.ModulesArtDeco.2.0.hda,AB::MModulesArtDeco::2.0,2.0,2.0,,SOP_AB__MModulesArtDeco.svg,ok,City / Urban,modules,gold,0.28,0,,
ModernLightGenerator,SHIP,1,Sops/BuildingProps/AB.ModernLightGenerator.1.0.hda,AOD::ModernLightGenerator::1.0,1.0,1.0,,SOP_AB__ModernLightGenerator.svg,ok,Lights,neon,cyan,0.07,0,,
ModuleAssembler,SHIP,1,Sops/Modules/AB.ModuleAssembler.1.0.hda,AB::ModuleAssembler::1.0,1.0,1.0,,SOP_AB__ModuleAssembler.svg,ok,Module systems,modules,violet,0.02,0,,
ModulesBrutalist,SHIP,1,Sops/Modules/AB.ModulesBrutalist.1.0.hda,AB::ModulesBrutalist::1.0,1.0,1.0,,SOP_AB__ModulesBrutalist.svg,ok,Module systems,modules,slate,0.06,0,,
ModulesClassical,SHIP,1,Sops/Modules/AB.ModulesClassical.2.0.hda,AB::ModulesClassical::1.0,2.0,1.0,MISMATCH,SOP_AB__ModulesClassical.svg,ok,Module systems,modules,gold,0.28,0,,
ModulesCyberPunk,SHIP,1,Sops/Modules/AB.ModulesCyberPunk.2.0.hda,AB::ModulesCyberPunk::2.0,2.0,2.0,,SOP_AB__ModulesCyberPunk.svg,ok,Module systems,modules,cyan,0.47,0,,
ModulesGothic,SHIP,1,Sops/Modules/AB.ModulesGothic.2.0.hda,AB::ModulesGothic::2.0,2.0,2.0,,SOP_AB__ModulesGothic.svg,ok,Module systems,modules,crimson,22.23,0,,
ModulesModernist,SHIP,1,Sops/Modules/AB..ModulesModernist.1.0.hda,AB::ModulesModernist::1.0,1.0,1.0,,SOP_AB__ModulesModernist.svg,ok,Module systems,modules,teal,0.04,0,,
ModulesSkyscrapers,SHIP,1,Sops/Modules/AB.ModulesSkyscrapers.2.0.hda,AB::ModulesSkyscrapers::2.0,2.0,2.0,,SOP_AB__ModulesSkyscrapers.svg,ok,Module systems,modules,emerald,0.02,0,,
MultiAxisPointScatter,SHIP,1,Sops/Scatters/AB.MultiAxisPointScatter.1.0.hda,AB::MultiAxisPointScatter::1.0,1.0,1.0,,SOP_AB__MultiAxisPointScatter.svg,ok,Scatter / Copy,scatter,teal,0.02,0,,
NeonRainbows,SHIP,1,Sops/MotionGraphics/AB.NeonRainbows.1.0.hda,AB::NeonRainbows::1.0,1.0,1.0,,SOP_AB__NeonRainbows.svg,ok,Signs / Billboards,neon,rose,0.02,0,,
NoisyGrid,SHIP,1,Sops/Modeling/AB.NoisyGrid.1.0.hda,AB::NoisyGrid::1.0,1.0,1.0,,SOP_AB__NoisyGrid.svg,ok,Math / Curves / Noise,noise_grid,violet,0.03,0,,
PanelGenerator,SHIP,1,Sops/Panels/AB.PanelGenerator.2.0.hda,AB::PanelGenerator::2.0,2.0,2.0,,SOP_AB__PanelGenerator.svg,ok,Facades / Windows / Doors,window_facade,gold,0.01,0,,
PhylotaxisScatter,SHIP,1,Sops/Scatters/AB..PhylotaxisScatter.1.0.hda,AB::PhylotaxisScatter::1.0,1.0,1.0,,SOP_AB__PhylotaxisScatter.svg,ok,Scatter / Copy,radial,violet,0.01,0,,
