Ancestor,CurrentType,File,Needed?,Notes
AOD::MOD::ModulesGothic::1.0,AB::ModulesGothic::2.0,Sops/Modules/AB.ModulesGothic.2.0.hda,,
AOD::MOD::RockMaker::1.0,AB::RockMaker::2.0,Sops/Natural/AB.RockMaker.2.0.hda,,
AOD::ModernBuildings::1.0,AB::SkyscraperGenerator::2.0,Sops/Buildings/AB.SkyscraperGenerator.2.0.hda,,
AOD::ModernBuildings::1.0,AB::SkyscraperGenerator::2.1,Sops/Buildings/AB.SkyscraperGenerator.2.1.hda,,
AOD::ModernLightGenerator::1.0,AB::ModernLightGenerator::1.0,Sops/BuildingProps/AB.ModernLightGenerator.1.0.hda,,FIXED 8/14 - type name was still AOD
AOD::extended_sweep::2.0,AB::ExtendedSweep::2.0,Sops/Modeling/AB.ExtendedSweep.2.0.hda,,
AOD::flower_designer::1.0,AB::FlowerDesigner::1.0,Sops/Natural/AB.FlowerDesigner.1.0.hda,,
AOD::handrail_maker::1.0,AB::HandrailGenerator::3.0,Sops/CityProps/AB.HandrailGenerator.3.0.hda,,
AOD::hoses_and_ends::1.0,AB::PipesAndEnds::1.0,Sops/Parts/AB.PipesAndEnds.1.0.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.0,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.0.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.1,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.1.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.2,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.2.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.3,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.3.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.4,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.4.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.5,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.5.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.6,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.6.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.7,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.7.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.8,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.8.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::2.9,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.9.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::3.0,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.0.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::3.1,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.1.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::3.2,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.2.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::3.3,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.3.hda,,
AOD::road_creator::1.0,AB::RoadSimpleGenerator::3.4,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.4.hda,,
AOD::road_creator::1.0,AB::RoadTerrainGenerator::2.9,Sops/WorldBuilding/AB.RoadTerrainGenerator.2.9.hda,,
AOD::sign_maker::3.0,AB::CommercialSignGenerator::4.8,Sops/CityProps/AB.CommercialSignGenerator.4.8.hda,,
AOD::sign_maker::3.0,AB::HighwaySignGenerator::4.8,Sops/CityProps/AB.HighwaySignGenerator.4.8.hda,,
AOD::sign_maker::3.0,AB::HighwaySignGenerator::4.9,Sops/CityProps/AB.HighwaySignGenerator.4.9.hda,,
AOD::sign_maker::3.0,AB::HighwaySignGenerator::5.0,Sops/CityProps/AB.HighwaySignGenerator.5.0.hda,,
AOD::sign_maker::3.0,AB::PoleGenerator::1.0,Sops/CityProps/AB.PoleGenerator.1.0.hda,,
AOD::sign_maker::3.0,AB::RoofTopSignGenerator::4.8,Sops/CityProps/AB.RoofTopSignGenerator.4.8.hda,,
AOD::sign_maker::3.0,AB::StreetSignGenerator::2.0,Sops/CityProps/AB.StreetSignGenerator.2.0.hda,,
AOD::sign_maker::3.0,AB::StreetSignGenerator::3.0,Sops/CityProps/AB.StreetSignGenerator.3.0.hda,,
AOD::utility_pole_maker::2.0,AB::UtilityPoleGenerator::3.0,Sops/CityProps/AB.UtilityPoleGenerator.3.0.hda,,
