zone	tools	kind	reason	confidence	family
piece108	1	PACKING	piece index	1.0	
piece109	1	PACKING	piece index	1.0	
piece11	1	PACKING	piece index	1.0	
piece110	1	PACKING	piece index	1.0	
piece111	1	PACKING	piece index	1.0	
piece112	1	PACKING	piece index	1.0	
piece113	1	PACKING	piece index	1.0	
piece114	1	PACKING	piece index	1.0	
piece115	1	PACKING	piece index	1.0	
piece116	1	PACKING	piece index	1.0	
piece117	1	PACKING	piece index	1.0	
piece118	1	PACKING	piece index	1.0	
piece119	1	PACKING	piece index	1.0	
piece12	1	PACKING	piece index	1.0	
piece120	1	PACKING	piece index	1.0	
piece121	1	PACKING	piece index	1.0	
piece122	1	PACKING	piece index	1.0	
piece123	1	PACKING	piece index	1.0	
piece124	1	PACKING	piece index	1.0	
piece125	1	PACKING	piece index	1.0	
piece126	1	PACKING	piece index	1.0	
piece127	1	PACKING	piece index	1.0	
piece128	1	PACKING	piece index	1.0	
piece129	1	PACKING	piece index	1.0	
piece13	1	PACKING	piece index	1.0	
piece130	1	PACKING	piece index	1.0	
piece131	1	PACKING	piece index	1.0	
piece132	1	PACKING	piece index	1.0	
piece133	1	PACKING	piece index	1.0	
piece134	1	PACKING	piece index	1.0	
piece135	1	PACKING	piece index	1.0	
piece136	1	PACKING	piece index	1.0	
piece137	1	PACKING	piece index	1.0	
piece138	1	PACKING	piece index	1.0	
piece139	1	PACKING	piece index	1.0	
piece14	1	PACKING	piece index	1.0	
piece140	1	PACKING	piece index	1.0	
piece141	1	PACKING	piece index	1.0	
piece142	1	PACKING	piece index	1.0	
piece143	1	PACKING	piece index	1.0	
piece144	1	PACKING	piece index	1.0	
piece145	1	PACKING	piece index	1.0	
piece146	1	PACKING	piece index	1.0	
piece147	1	PACKING	piece index	1.0	
piece148	1	PACKING	piece index	1.0	
piece149	1	PACKING	piece index	1.0	
piece15	1	PACKING	piece index	1.0	
piece150	1	PACKING	piece index	1.0	
piece151	1	PACKING	piece index	1.0	
piece152	1	PACKING	piece index	1.0	
piece153	1	PACKING	piece index	1.0	
piece154	1	PACKING	piece index	1.0	
piece155	1	PACKING	piece index	1.0	
piece156	1	PACKING	piece index	1.0	
piece157	1	PACKING	piece index	1.0	
piece158	1	PACKING	piece index	1.0	
piece159	1	PACKING	piece index	1.0	
piece16	1	PACKING	piece index	1.0	
piece160	1	PACKING	piece index	1.0	
piece161	1	PACKING	piece index	1.0	
piece162	1	PACKING	piece index	1.0	
piece163	1	PACKING	piece index	1.0	
piece164	1	PACKING	piece index	1.0	
piece165	1	PACKING	piece index	1.0	
piece166	1	PACKING	piece index	1.0	
piece167	1	PACKING	piece index	1.0	
piece168	1	PACKING	piece index	1.0	
piece169	1	PACKING	piece index	1.0	
piece17	1	PACKING	piece index	1.0	
piece170	1	PACKING	piece index	1.0	
piece171	1	PACKING	piece index	1.0	
piece172	1	PACKING	piece index	1.0	
piece173	1	PACKING	piece index	1.0	
piece174	1	PACKING	piece index	1.0	
piece175	1	PACKING	piece index	1.0	
piece176	1	PACKING	piece index	1.0	
piece177	1	PACKING	piece index	1.0	
piece178	1	PACKING	piece index	1.0	
piece179	1	PACKING	piece index	1.0	
piece18	1	PACKING	piece index	1.0	
piece180	1	PACKING	piece index	1.0	
piece181	1	PACKING	piece index	1.0	
piece182	1	PACKING	piece index	1.0	
piece183	1	PACKING	piece index	1.0	
piece184	1	PACKING	piece index	1.0	
piece185	1	PACKING	piece index	1.0	
piece186	1	PACKING	piece index	1.0	
piece187	1	PACKING	piece index	1.0	
piece188	1	PACKING	piece index	1.0	
piece189	1	PACKING	piece index	1.0	
piece19	1	PACKING	piece index	1.0	
piece190	1	PACKING	piece index	1.0	
piece191	1	PACKING	piece index	1.0	
piece192	1	PACKING	piece index	1.0	
piece193	1	PACKING	piece index	1.0	
piece194	1	PACKING	piece index	1.0	
piece195	1	PACKING	piece index	1.0	
piece196	1	PACKING	piece index	1.0	
piece197	1	PACKING	piece index	1.0	
piece198	1	PACKING	piece index	1.0	
piece199	1	PACKING	piece index	1.0	
piece2	1	PACKING	piece index	1.0	
piece20	1	PACKING	piece index	1.0	
piece21	1	PACKING	piece index	1.0	
piece22	1	PACKING	piece index	1.0	
piece23	1	PACKING	piece index	1.0	
piece24	1	PACKING	piece index	1.0	
piece25	1	PACKING	piece index	1.0	
piece26	1	PACKING	piece index	1.0	
piece27	1	PACKING	piece index	1.0	
piece28	1	PACKING	piece index	1.0	
piece29	1	PACKING	piece index	1.0	
piece3	1	PACKING	piece index	1.0	
piece30	1	PACKING	piece index	1.0	
piece31	1	PACKING	piece index	1.0	
piece32	1	PACKING	piece index	1.0	
piece33	1	PACKING	piece index	1.0	
piece34	1	PACKING	piece index	1.0	
piece35	1	PACKING	piece index	1.0	
piece36	1	PACKING	piece index	1.0	
piece37	1	PACKING	piece index	1.0	
piece38	1	PACKING	piece index	1.0	
piece39	1	PACKING	piece index	1.0	
piece4	1	PACKING	piece index	1.0	
piece40	1	PACKING	piece index	1.0	
piece41	1	PACKING	piece index	1.0	
piece42	1	PACKING	piece index	1.0	
piece43	1	PACKING	piece index	1.0	
piece44	1	PACKING	piece index	1.0	
piece45	1	PACKING	piece index	1.0	
piece46	1	PACKING	piece index	1.0	
piece47	1	PACKING	piece index	1.0	
piece48	1	PACKING	piece index	1.0	
piece49	1	PACKING	piece index	1.0	
piece5	1	PACKING	piece index	1.0	
piece50	1	PACKING	piece index	1.0	
piece51	1	PACKING	piece index	1.0	
piece52	1	PACKING	piece index	1.0	
piece53	1	PACKING	piece index	1.0	
piece54	1	PACKING	piece index	1.0	
piece55	1	PACKING	piece index	1.0	
piece56	1	PACKING	piece index	1.0	
piece57	1	PACKING	piece index	1.0	
piece58	1	PACKING	piece index	1.0	
piece59	1	PACKING	piece index	1.0	
piece6	1	PACKING	piece index	1.0	
piece60	1	PACKING	piece index	1.0	
piece61	1	PACKING	piece index	1.0	
piece62	1	PACKING	piece index	1.0	
piece63	1	PACKING	piece index	1.0	
piece64	1	PACKING	piece index	1.0	
piece65	1	PACKING	piece index	1.0	
piece66	1	PACKING	piece index	1.0	
piece67	1	PACKING	piece index	1.0	
piece68	1	PACKING	piece index	1.0	
piece69	1	PACKING	piece index	1.0	
piece7	1	PACKING	piece index	1.0	
piece70	1	PACKING	piece index	1.0	
piece71	1	PACKING	piece index	1.0	
piece72	1	PACKING	piece index	1.0	
piece73	1	PACKING	piece index	1.0	
piece74	1	PACKING	piece index	1.0	
piece75	1	PACKING	piece index	1.0	
piece76	1	PACKING	piece index	1.0	
piece77	1	PACKING	piece index	1.0	
piece78	1	PACKING	piece index	1.0	
piece79	1	PACKING	piece index	1.0	
piece8	1	PACKING	piece index	1.0	
piece80	1	PACKING	piece index	1.0	
piece81	1	PACKING	piece index	1.0	
piece82	1	PACKING	piece index	1.0	
piece83	1	PACKING	piece index	1.0	
piece84	1	PACKING	piece index	1.0	
piece85	1	PACKING	piece index	1.0	
piece86	1	PACKING	piece index	1.0	
piece87	1	PACKING	piece index	1.0	
piece88	1	PACKING	piece index	1.0	
piece89	1	PACKING	piece index	1.0	
piece9	1	PACKING	piece index	1.0	
piece90	1	PACKING	piece index	1.0	
piece91	1	PACKING	piece index	1.0	
piece92	1	PACKING	piece index	1.0	
piece93	1	PACKING	piece index	1.0	
piece94	1	PACKING	piece index	1.0	
piece95	1	PACKING	piece index	1.0	
piece96	1	PACKING	piece index	1.0	
piece97	1	PACKING	piece index	1.0	
piece98	1	PACKING	piece index	1.0	
piece99	1	PACKING	piece index	1.0	
