ID,Area,Severity,Item,Scope,Detail,ProposedAction,Type,Status,Decision,Notes
AB-035,Interface,MED,Inject standard parms per tier,~77 Tier-1 tools,11 spellings of UVLayoutOn exist; UseColor real coverage is 2 not 26,Script injection per tier after tiering is agreed,BULK JOB,,,
AB-036,Versions,MED,Stale nested sub-asset,AB::ApartmentRow::1.2,AB::BuildingLightGenerator::2.0 - Nested sub-asset pinned at an old version; newest is AB::BuildingLightGenerator::2.1,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-037,Versions,MED,Stale nested sub-asset,AB::ApartmentRow::1.2,AB::DoorsCreateCopies::1.0 - Nested sub-asset pinned at an old version; newest is AB::DoorsCreateCopies::1.2,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-038,Versions,MED,Stale nested sub-asset,AB::BuildingLightGenerator::2.1,AB::BuildingLightGenerator::2.0 - Nested sub-asset pinned at an old version; newest is AB::BuildingLightGenerator::2.1,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-039,Versions,MED,Stale nested sub-asset,AB::ButtonPanels::1.1,AB::ButtonPanels::1.0 - Nested sub-asset pinned at an old version; newest is AB::ButtonPanels::1.1,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-040,Versions,MED,Stale nested sub-asset,AB::DestructionBuilding::1.0,AB::BuildingLightGenerator::2.0 - Nested sub-asset pinned at an old version; newest is AB::BuildingLightGenerator::2.1,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-041,Versions,MED,Stale nested sub-asset,AB::DestructionBuilding::1.0,AB::DowntownBuilding::3.5 - Nested sub-asset pinned at an old version; newest is AB::DowntownBuilding::3.6,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-042,Versions,MED,Stale nested sub-asset,AB::DowntownBuilding::3.6,AB::BuildingLightGenerator::2.0 - Nested sub-asset pinned at an old version; newest is AB::BuildingLightGenerator::2.1,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-043,Versions,MED,Stale nested sub-asset,AB::LowWalls::1.1,AB::LowWalls::1.0 - Nested sub-asset pinned at an old version; newest is AB::LowWalls::1.1,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-044,Versions,MED,Stale nested sub-asset,AB::SkyscraperGenerator::2.1,AB::DoorsCreateCopies::1.1 - Nested sub-asset pinned at an old version; newest is AB::DoorsCreateCopies::1.2,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-045,Versions,MED,Stale nested sub-asset,AB::VictorianHouses::1.1,AB::BuildingLightGenerator::2.0 - Nested sub-asset pinned at an old version; newest is AB::BuildingLightGenerator::2.1,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-046,Versions,MED,Stale nested sub-asset,AB::VictorianHouses::1.1,AB::DoorsCreateCopies::1.0 - Nested sub-asset pinned at an old version; newest is AB::DoorsCreateCopies::1.2,"Unlock parent, retype nested node, re-save definition",BULK JOB,,,
AB-047,Presentation,LOW,Install existing icons,124 assets,150 finished SVGs already exist in IconDev/Icons and are unused. No H22 migration needed.,Match SVG to asset and embed as IconSVG,BULK JOB,,,
AB-048,Textures,LOW,Delete orphan textures,8 textures,Embedded but referenced by nothing,Delete rather than extract,BULK JOB,,,
