Tool,State,Category,Versions,Shipping Version,All Versions,Size MB,Embedded Textures,Std Parms,Stock Icon,Has Help,Defects,Defect Notes,Owner,Notes
CircularNoise,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
CityGenerator,Dev,CityGen,6,2.5,2.0 2.1 2.2 2.3 2.4 2.5,1.9,0,0,,yes,0,,,
CityGridGenerator,Dev,CityGen,5,1.4,1.0 1.1 1.2 1.3 1.4,0.7,10,0,,yes,0,,,
CliffordAttractor,Standardizing,Scatters,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
ColorByVelocity,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
CommercialSignGenerator,Standardizing,CityProps,1,4.8,4.8,42.7,5,2,,yes,0,,,
CopyWithRotation,Standardizing,CopyTools,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
CreateCircuitCurves,Standardizing,Curves,1,2.0,2.0,0.0,0,0,,yes,0,,,
CreateLODs,Standardizing,Utilities,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
CreateRGBNoise,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
CrystalGenerator,Standardizing,Natural,1,1.0,1.0,290.0,0,0,yes,yes,0,,,
CycGenerator,Standardizing,Modeling,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
DestructionBuilding,Standardizing,Buildings,1,1.0,1.0,117.8,3,8,,yes,2,stale nested AB::BuildingLightGenerator::2.0; stale nested AB::DowntownBuilding::3.5,,
DomeGenerator,Standardizing,BuildingProps,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
DoorGenerator,Standardizing,BuildingProps,1,4.0,4.0,0.5,0,0,,yes,0,,,
DoorHardware,Standardizing,Parts,1,2.0,2.0,1.0,0,1,yes,yes,0,,,
DoorsCreateCopies,Standardizing,BuildingHelpers,3,1.2,1.0 1.1 1.2,0.3,0,0,yes,yes,0,,,
DowntownBuilding,Dev,Buildings,7,3.6,3.0 3.1 3.2 3.3 3.4 3.5 3.6,590.6,15,8,,yes,1,stale nested AB::BuildingLightGenerator::2.0,,
DroopyWires,Standardizing,Modeling,1,1.0,1.0,0.1,0,1,yes,yes,0,,,
ElectricBoxGenerator,Standardizing,CityProps,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
ElectricalParts,Standardizing,Parts,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
ElectricalPropGenerator,Dev,BuildingProps,1,2.0,2.0,0.1,0,1,yes,yes,1,MISSING nested AB::ElectricalProps::2.0,,
ElectronicComponentGenerator,Standardizing,Parts,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
EngineAttributes,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,,0,,,
EqualizerGraph,Standardizing,MotionGraphics,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
ExportPack,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,,0,,,
ExtendedSweep,Standardizing,Modeling,1,1.0,1.0,0.0,0,,,yes,0,,,
FancyCurves,Standardizing,Curves,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
FireEscapeGenerator,Standardizing,BuildingProps,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
FireHydrantGenerator,Standardizing,CityProps,1,2.0,2.0,0.3,0,1,yes,yes,0,,,
FlangeGenerator,Standardizing,Parts,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
FloatingIslands,Standardizing,Natural,1,1.0,1.0,0.1,0,0,,yes,0,,,
Flocking,Standardizing,Scatters,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
FlowerDesigner,Standardizing,Natural,1,1.0,1.0,0.2,0,,,yes,0,,,
FlowerGenerator,Standardizing,Natural,1,1.0,1.0,0.2,0,0,yes,yes,0,,,
FuturisticBuildings,Standardizing,Buildings,3,2.2,2.0 2.1 2.2,0.5,0,0,yes,yes,0,,,
GraphicSigns,Standardizing,CityProps,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
GrassGenerator,Standardizing,WorldBuilding,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
GroupWalls,Standardizing,BuildingHelpers,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
GrowthFromPoints,Standardizing,MotionGraphics,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
HandrailGenerator,Standardizing,CityProps,1,3.0,3.0,0.0,0,0,yes,yes,0,,,
HangingClothGenerator,Standardizing,SetDressing,1,1.5,1.5,0.1,0,0,yes,yes,0,,,
HardwareMaker,Standardizing,Parts,1,2.0,2.0,1.4,0,1,yes,yes,0,,,
HayBaleGenerator,Standardizing,SetDressing,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
HighwaySignGenerator,Standardizing,CityProps,2,4.9,4.8 4.9,1041.6,40,2,,yes,0,,,
HudMaker,Standardizing,MotionGraphics,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
IndustrialBuildings,Standardizing,Buildings,2,2.1,2.0 2.1,0.2,0,0,yes,yes,0,,,
LadderGenerator,Standardizing,BuildingProps,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
LargeWalls,Standardizing,BuildingProps,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
LowPolyTrees,Standardizing,Natural,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
LowWalls,Standardizing,BuildingProps,2,1.1,1.0 1.1,0.1,0,1,yes,yes,1,stale nested AB::LowWalls::1.0,,
MailBoxGenerator,Standardizing,CityProps,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
ManhattenDistance,Standardizing,Panels,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
MaterialBinding,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,,0,,,
MaterialLibrary,Standardizing,Utilities,1,1.0,1.0,0.0,0,,,yes,0,,,
MetalExtrusionMaker,Standardizing,Curves,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
ModernLightGenerator,Standardizing,BuildingProps,1,1.0,1.0,0.1,0,1,yes,yes,0,,,
ModuleAssembler,Standardizing,Modules,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
ModulesArtDeco,Standardizing,Modules,1,2.0,2.0,0.3,0,,,yes,1,filename/type mismatch (AB::MModulesArtDeco::2.0),,
ModulesBrutalist,Standardizing,Modules,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
ModulesClassical,Standardizing,Modules,1,2.0,2.0,0.3,0,0,yes,yes,1,filename/type mismatch (AB::ModulesClassical::1.0),,
ModulesCyberPunk,Standardizing,Modules,1,2.0,2.0,0.5,0,0,yes,yes,0,,,
ModulesGothic,Dev,Modules,1,2.0,2.0,22.2,0,0,yes,yes,1,MISSING nested AB::GT_rosette_window_001::1.0,,
ModulesSkyscrapers,Standardizing,Modules,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
MultiAxisPointScatter,Standardizing,Scatters,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
NeonRainbows,Standardizing,MotionGraphics,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
NoisyGrid,Standardizing,Modeling,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
PanelGenerator,Standardizing,Panels,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
PipeCreator,Standardizing,Modeling,1,2.0,2.0,0.1,0,1,yes,yes,0,,,
PipesAndEnds,Standardizing,Parts,1,1.0,1.0,0.1,0,1,yes,yes,0,,,
PlantOnsFuturistic,Standardizing,PlantOns,1,2.0,2.0,3.7,0,0,yes,yes,0,,,
PlanterGenerator,Standardizing,CityProps,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
PointBlends,Standardizing,MotionGraphics,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
PoleGenerator,Dev,CityProps,1,1.0,1.0,0.1,0,2,,yes,1,MISSING nested AB::Pole_Creator::1.0,,
PythonScripter,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
RadialFalloff,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
RadialPointSort,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
RadialScatter,Standardizing,Utilities,1,1.5,1.5,0.0,0,0,yes,yes,0,,,
RadialScatterVex,Standardizing,Scatters,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
RadialSmoothNoise,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
RandomArcs,Standardizing,MotionGraphics,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
ResortGenerator,Standardizing,Buildings,1,3.0,3.0,0.1,0,0,yes,yes,0,,,
RetailBuildings,Standardizing,Buildings,2,3.2,3.1 3.2,0.3,0,0,yes,yes,0,,,
RoadSimpleGenerator,Dev,WorldBuilding,15,3.4,2.0 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.0 3.1 3.2 3.3 3.4,5.3,0,2,yes,yes,0,,,
RoadTerrainGenerator,Standardizing,WorldBuilding,1,2.9,2.9,0.1,0,0,yes,yes,0,,,
RockClumps,Standardizing,Modeling,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
RockMaker,Standardizing,Natural,1,2.0,2.0,0.1,0,,,yes,0,,,
RocksArched,Standardizing,Natural,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
RoofTopSignGenerator,Standardizing,CityProps,1,4.8,4.8,405.5,14,1,,yes,0,,,
RoofVentGenerator,Standardizing,BuildingProps,1,3.0,3.0,0.0,0,2,yes,yes,0,,,
RooftopMechanicals,Standardizing,BuildingProps,1,3.0,3.0,59.8,5,1,,yes,0,,,
RooftopProcessor,Standardizing,BuildingHelpers,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
SateliteDishGenerator,Standardizing,BuildingProps,1,1.0,1.0,0.0,0,2,yes,yes,1,filename/type mismatch (AB::SateliteDishGenerator::3.0),,
ShippingContainers,Standardizing,CityProps,1,4.0,4.0,0.0,0,0,yes,yes,0,,,
SidewalkProcessor,Standardizing,CityHelpers,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
SignHighway,Standardizing,CityProps,1,2.0,2.0,0.0,0,2,yes,yes,1,filename/type mismatch (AB::SignHighway::1.0),,
SimplePipe,Standardizing,Parts,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
SingleBlockGenerator,Standardizing,CityGen,1,2.0,2.0,0.2,0,2,yes,yes,0,,,
SkylightGenerator,Standardizing,BuildingProps,1,2.0,2.0,100.7,8,1,,yes,0,,,
SkyscraperGenerator,Standardizing,Buildings,2,2.1,2.0 2.1,0.8,0,5,yes,yes,1,stale nested AB::DoorsCreateCopies::1.1,,
SmallBridgeGenerator,Standardizing,SetDressing,1,0.5,0.5,0.0,0,0,yes,yes,1,filename/type mismatch (AB::SmallBridgeGenerator::1.0),,
SolarPanelGenerator,Standardizing,BuildingProps,1,3.0,3.0,0.0,0,2,yes,yes,0,,,
SpaceFillingCircuit,Standardizing,MotionGraphics,1,1.0,1.0,0.0,0,0,,yes,0,,,
SplashTool,Standardizing,VFX,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
StairGenerator,Standardizing,BuildingProps,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
StairwayTops,Standardizing,BuildingProps,1,3.0,3.0,177.2,8,2,,yes,0,,,
StreetLightGenerator,Standardizing,CityProps,3,2.2,2.0 2.1 2.2,0.7,0,1,yes,yes,0,,,
StreetSignGenerator,Dev,CityProps,1,2.0,2.0,405.4,14,2,,yes,1,MISSING nested AB::StreetSigns::2.0,,
SubdivideLots,Standardizing,CityGen,1,2.0,2.0,0.3,0,0,,yes,0,,,
SuperFormula,Standardizing,Modeling,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
TowerGenerator,Standardizing,CityProps,1,1.0,1.0,0.1,0,0,yes,yes,0,,,
TrashCanGenerator,Standardizing,CityProps,1,2.0,2.0,0.0,0,1,yes,yes,0,,,
UnrealTerrainWrite,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
UtilityPoleGenerator,Standardizing,CityProps,1,3.0,3.0,0.2,0,0,yes,yes,0,,,
VDBBooleans,Standardizing,Volume,1,1.0,1.0,0.0,0,,,yes,1,filename/type mismatch (AB::VDBooleans::1.0),,
ValveGenerator,Standardizing,Parts,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
VentGenerator,Standardizing,Parts,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
VexBrancher,Standardizing,Modeling,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
VictorianHouses,Standardizing,Buildings,2,1.1,1.0 1.1,235.6,6,3,,yes,2,stale nested AB::BuildingLightGenerator::2.0; stale nested AB::DoorsCreateCopies::1.0,,
VisTools,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
WaterTankGenerator,Standardizing,BuildingProps,1,2.0,2.0,0.1,0,1,yes,yes,0,,,
WindowGenerator,Standardizing,BuildingProps,1,3.1,3.1,0.2,0,1,,yes,0,,,
WindowsCreateCopies,Standardizing,BuildingHelpers,1,2.0,2.0,0.0,0,0,yes,yes,0,,,
WiresWithRings.1.0,Standardizing,Modeling,1,1.0,1.0,0.0,0,,,yes,1,filename/type mismatch (AB::WiresWithRings::1.0),,
WoodPlankGenerator.1.0,Standardizing,Modeling,1,1.0,1.0,0.0,0,,,yes,1,filename/type mismatch (AB::WoodPlankGenerator::1.0),,
WoodenPierGenerator,Standardizing,SetDressing,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
ZoneAudit,Standardizing,Utilities,1,1.0,1.0,0.0,0,0,yes,,0,,,
_UNPARSEABLE_AB.CopyByDensity.1_0.hda,Standardizing,CopyTools,1,0.0,0.0,0.0,0,,,yes,0,,,
_UNPARSEABLE_sop_AB.ButtonPanels.1.1.hda,Standardizing,Modeling/OLD,1,0.0,0.0,0.0,0,,,yes,0,,,
_UNPARSEABLE_sop_AB.DoorsCreateCopies.1.2.hda,Standardizing,Modeling/OLD,1,0.0,0.0,0.1,0,,,yes,0,,,
